ts,event,symbol,detail
1755209570998,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209570998,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209571797,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209571797,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209572599,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209572600,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209573400,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209573400,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209574200,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209574200,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209574997,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209575002,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209575803,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209576222,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209576600,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209577403,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209577405,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209578205,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209578205,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209579005,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209579007,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209579806,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209579806,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209580608,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209580608,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209581410,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209581411,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209582213,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209582213,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209583014,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209583014,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209583813,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209583813,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209584614,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209584614,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209585415,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209585416,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209586215,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209586216,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209587013,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209587016,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209587817,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209587817,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209588614,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209588618,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209589418,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209589418,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209590217,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209590219,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209591019,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209591019,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209591818,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209591820,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209592620,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209592621,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209593418,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209593421,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209594220,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209594223,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209595024,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209595024,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209595826,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209595826,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209596626,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209596626,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
1755209597427,ERROR,-,'BinanceExchange' object has no attribute 'market_summary_for'
